Date,num
8/4/21,1793
5/4/21,6657
1/4/21,7182
29/3/21,1194
25/3/21,1115
22/3/21,7319
18/3/21,6672
15/3/21,7377
11/3/21,2811
9/3/21,9251
4/3/21,7185
1/2/21,9887
25/2/21,1791
22/2/21,3175
18/2/21,6608
15/2/21,0917
11/2/21,6385
8/2/21,4310
4/2/21,7678
1/2/21,2616
28/1/21,5115
25/1/21,1695
21/1/21,0964
18/1/21,8777
14/1/21,5070
11/1/21,2210
7/1/21,5534
4/1/21,7784
30/12/20,4301
28/12/20,3880
24/12/20,2096
23/12/20,6216
21/12/20,0836
17/12/20,2997
14/12/20,8056
10/12/20,4464
7/12/20,4797
3/12/20,7823
30/11/20,7603
26/11/20,0911
23/11/20,0874
19/11/20,6923
18/11/20,0819
16/11/20,5453
12/11/20,6559
9/11/20,1541
5/11/20,2029
2/11/20,9535
29/10/20,5686
26/10/20,6341
22/10/20,9996
21/10/20,7207
19/10/20,3809
15/10/20,2268
12/10/20,1443
8/10/20,1786
5/10/20,3974
1/10/20,8849
28/9/20,3253
24/9/20,5062
23/9/20,0138
21/9/20,8413
17/9/20,1138
14/9/20,4537
8/9/20,4230
7/9/20,2085
3/9/20,0473
31/8/20,3575
27/8/20,5912
24/8/20,7230
20/8/20,3086
19/8/20,2737
17/8/20,7707
13/8/20,3172
10/8/20,9742
6/8/20,0138
3/8/20,6320
30/7/20,6606
27/7/20,6294
23/7/20,7674
22/7/20,7808
20/7/20,7438
16/7/20,0187
13/7/20,6543
9/7/20,9959
6/7/20,0095
2/6/20,3220
29/6/20,4413
26/6/20,9005
22/6/20,2795
18/6/20,9336
16/6/20,4516
15/6/20,1851
11/6/20,7623
5/6/20,0232
4/6/20,1617
1/6/20,1687 
28/5/20,1367
25/5/20,5196
21/5/20, 7550
20/5/20,6849
18/5/20,4073
14/5/20,7006
11/5/20,9968
7/5/20,3924
30/3/20,7683
26/3/20,7972
23/3/20,8038
19/3/20,4212
16/3/20,8863
12/3/20,3672
9/3/20,8052
5/3/20,5279
2/3/20,5724
27/2/20,6380
24/2/20,6520
20/2/20,6668
17/2/20,9562
13/2/20,7481
10/2/20,9273
6/2/20,5284
3/2/20,5136
29/1/20,5936
22/1/20,2378
15/1/20,6459
8/1/20,0684
2/1/20,4371
