Date,num
2021-4-1,05
2021-3-16,19
2021-3-1,73
2021-2-16,39
2021-2-1,97
2021-1-16,15
2021-1-1,19
2020-12-16,70
2020-12-1,84
2020-11-16,46
2020-11-1,40
2020-10-16,38
2020-10-1,59
2020-9-16,57
2020-9-1,98
2020-8-16,88
2020-8-1,92
2020-7-16,53
2020-7-1,83
2020-6-16,64
2020-6-1,24
2020-4-1,22
2020-3-16,77
2020-3-1,98
2020-2-16,94
2020-2-1,06
2020-1-17,68
2019-12-30,81
2019-12-16,97
2019-12-1,81
2019-11-16,32
2019-11-1,79
2019-10-16,15
2019-10-1,59
2019-9-16,85
2019-9-1,20
2019-8-16,89
2019-8-1,58
2019-7-15,88
2019-7-1,86
2019-6-16,29
2019-6-1,46
2019-5-16,71
2019-5-2,25
2019-4-16,23
2019-4-1,52
2019-3-16,64
2019-3-1,65
2019-2-16,56
2019-2-1,04
2019-1-17,65
2018-12-30,02
2018-12-16,62
2018-12-1,67
2018-11-16,16
2018-11-1,58
2018-10-16,93
2018-10-1,99
2018-9-16,79
2018-9-1,26
2018-8-16,10
2018-8-1,78
2018-7-16,27
2018-7-1,83
2018-6-16,46
2018-6-1,95
2018-5-16,20
2018-5-2,85
2018-4-16,60
2018-4-1,85
2018-3-16,82
2018-3-2,29
2018-2-16,39
2018-2-1,31
2018-1-17,50
2017-12-30,98
2017-12-16,89
2017-12-1,33
2017-11-16,98
2017-11-1,85
2017-10-16,86
2017-10-1,52
2017-9-16,71
2017-9-1,65
2017-8-16,37
2017-8-1,36
2017-7-16,87
2017-7-1,26
2017-6-16,47
2017-6-1,61
2017-5-16,53
2017-5-2,35
2017-4-16,40
2017-4-1,80
2017-3-16,92
2017-3-1,78
2017-2-16,14
2017-2-1,42
2017-1-17,25
2016-12-30,46
2016-12-16,35
2016-12-1,77
2016-11-16,44
2016-11-1,86
2016-10-16,98
2016-10-1,33
2016-9-16,42
2016-9-1,62
2016-8-16,33
2016-8-1,57
2016-7-16,55
2016-7-1,53
2016-6-16,79
2016-6-1,14
2016-5-16,98
2016-5-2,02
2016-4-16,87
2016-4-1,92
2016-3-16,32
2016-3-1,06
