Date,num
1/4/21,05
16/3/21,19
1/3/21,73
16/2/21,39
1/2/21,97
16/1/21,15
1/1/21,19
16/12/20,70
1/12/20,84
16/11/20,46
1/11/20,40
16/10/20,38
1/10/20,59
16/9/20,57
1/9/20,98
16/8/20,88
1/8/20,92
16/7/20,53
1/7/20,83
16/6/20,64
1/6/20,24
1/4/20,22
16/3/20,77
1/3/20,98
16/2/20,94
1/2/20,06
17/1/20,68
30/12/19,81
16/12/19,97
1/12/19,81
16/11/19,32
1/11/19,79
16/10/19,15
1/10/19,59
16/9/19,85
1/9/19,20
16/8/19,89
1/8/19,58
15/7/19,88
1/7/19,86
16/6/19,29
1/6/19,46
16/5/19,71
2/5/19,25
16/4/19,23
1/4/19,52
16/3/19,64
1/3/19,65
16/2/19,56
1/2/19,04
17/1/19,65
30/12/18,02
16/12/18,62
1/12/18,67
16/11/18,16
1/11/18,58
16/10/18,93
1/10/18,99
16/9/18,79
1/9/18,26
16/8/18,10
1/8/18,78
16/7/18,27
1/7/18,83
16/6/18,46
1/6/18,95
16/5/18,20
2/5/18,85
16/4/18,60
1/4/18,85
16/3/18,82
2/3/18,29
16/2/18,39
1/2/18,31
17/1/18,50
30/12/17,98
16/12/17,89
1/12/17,33
16/11/17,98
1/11/17,85
16/10/17,86
1/10/17,52
16/9/17,71
1/9/17,65
16/8/17,37
1/8/17,36
16/7/17,87
1/7/17,26
16/6/17,47
1/6/17,61
16/5/17,53
2/5/17,35
16/4/17,40
1/4/17,80
16/3/17,92
1/3/17,78
16/2/17,14
1/2/17,42
17/1/17,25
30/12/16,46
16/12/16,35
1/12/16,77
16/11/16,44
1/11/16,86
16/10/16,98
1/10/16,33
16/9/16,42
1/9/16,62
16/8/16,33
1/8/16,57
16/7/16,55
1/7/16,53
16/6/16,79
1/6/16,14
16/5/16,98
2/5/16,02
16/4/16,87
1/4/16,92
16/3/16,32
1/3/16,06
16/2/16,98
1/2/16,09
17/1/16,50
30/12/15,02
17/12/15,08
1/12/15,78
16/11/15,03
1/11/15,45
16/10/15,62
1/10/15,07
16/9/15,06
1/9/15,89
16/8/15,40
1/8/15,53
16/7/15,49
1/7/15,26
16/6/15,05
2/6/15,65
16/5/15,38
2/5/15,30
16/4/15,38
1/4/15,70
16/3/15,92
1/3/15,34
16/2/15,90
1/2/15,79
16/1/15,74
30/12/14,57
16/12/14,90
1/12/14,11
16/11/14,25
1/11/14,44
16/10/14,94
1/10/14,44
16/9/14,35
1/9/14,22
16/8/14,91
1/8/14,82
10/7/14,45
1/7/14,39
16/6/14,95
1/6/14,18
16/5/14,20
2/5/14,52
16/4/14,26
1/4/14,95
16/3/14,79
1/3/14,35
16/2/14,01
1/2/14,95
16/1/14,52
30/12/13,48
16/12/13,79
1/12/13,27
16/11/13,28
1/11/13,47
16/10/13,60
1/10/13,14
16/9/13,63
1/9/13,05
16/8/13,20
1/8/13,82
16/7/13,86
1/7/13,51
16/6/13,69
1/6/13,90
16/5/13,56
2/5/13,07
16/4/13,86
1/4/13,53
16/3/13,52
1/3/13,37
16/2/13,09
1/2/13,66
16/1/13,08
30/12/12,00
16/12/12,72
1/12/12,43
16/11/12,15
1/11/12,63
16/10/12,28
1/10/12,58
16/9/12,79
1/9/12,07
16/8/12,28
1/8/12,50
16/7/12,11
1/7/12,60
16/6/12,51
1/6/12,38
16/5/12,31
2/5/12,29
16/4/12,62
1/4/12,69
16/3/12,08
1/3/12,79
16/2/12,18
1/2/12,32
16/1/12,81
30/12/11,65
16/12/11,21
1/12/11,02
16/11/11,57
1/11/11,54
16/10/11,83
1/10/11,15
16/9/11,28
1/9/11,85
16/8/11,62
1/8/11,12
16/7/11,12
1/7/11,51
16/6/11,88
1/6/11,46
16/5/11,05
2/5/11,85
16/4/11,44
1/4/11,01
16/3/11,96
1/3/11,97
16/2/11,27
1/2/11,55
16/1/11,23
30/12/10,49
16/12/10,24
1/12/10,09
16/11/10,43
1/11/10,59
16/10/10,42
1/10/10,02
16/9/10,66
1/9/10,11
16/8/10,64
1/8/10,10
16/7/10,34
1/7/10,68
16/6/10,73
1/6/10,81
16/5/10,12
2/5/10,06
16/4/10,96
1/4/10,22
16/3/10,97
1/3/10,97
16/2/10,03
1/2/10,14
16/1/10,67
30/12/09,87
16/12/09,05
1/12/09,59
16/11/09,58
1/11/09,85
16/10/09,00
1/10/09,06
16/9/09,48
1/9/09,32
16/8/09,96
1/8/09,92
16/7/09,94
1/7/09,66
16/6/09,15
1/6/09,26
16/5/09,54
2/5/09,11
16/4/09,33
1/4/09,50
16/3/09,36
1/3/09,67
16/2/09,93
1/2/09,69
16/1/09,25
30/12/08,22
16/12/08,25
1/12/08,05
16/11/08,20
1/11/08,76
16/10/08,98
1/10/08,67
16/9/08,56
1/9/08,09
16/8/08,36
1/8/08,11
16/7/08,41
1/7/08,50
16/6/08,75
1/6/08,35
16/5/08,69
2/5/08,62
16/4/08,64
1/4/08,71
16/3/08,33
1/3/08,05
16/2/08,80
1/2/08,26
16/1/08,81
30/12/07,81
16/12/07,96
1/12/07,18
16/11/07,73
1/11/07,88
16/10/07,48
1/10/07,76
16/9/07,45
1/9/07,69
16/8/07,93
1/8/07,29
16/7/07,77
1/7/07,76
16/6/07,41
1/6/07,05
16/5/07,25
2/5/07,81
16/4/07,63
1/4/07,93
16/3/07,85
1/3/07,61
16/2/07,95
1/2/07,56
16/1/07,55
30/12/06,07
16/12/06,45
1/12/06,12
16/11/06,94
1/11/06,29
16/10/06,58
1/10/06,92
16/9/06,41
1/9/06,44
16/8/06,91
1/8/06,88
16/7/06,48
1/7/06,65
16/6/06,17
1/6/06,99
16/5/06,71
2/5/06,27
16/4/06,49
1/4/06,95
16/3/06,30
1/3/06,43
16/2/06,66
1/2/06,87
16/1/06,79
30/12/05,94
16/12/05,86
1/12/05,17
16/11/05,80
1/11/05,98
16/10/05,71
1/10/05,24
16/9/05,10
1/9/05,17
16/8/05,68
1/8/05,26
16/7/05,13
1/7/05,87
16/6/05,44
1/6/05,35
16/5/05,97
2/5/05,43
16/4/05,10
1/4/05,69
16/3/05,03
1/3/05,93
16/2/05,53
1/2/05,34
16/1/05,08
30/12/04,28
16/12/04,17
1/12/04,69
16/11/04,64
1/11/04,23
16/10/04,62
1/10/04,66
16/9/04,59
1/9/04,70
16/8/04,59
2/8/04,45
16/7/04,25
1/7/04,66
16/6/04,87
1/6/04,72
16/5/04,13
2/5/04,91
16/4/04,12
1/4/04,62
16/3/04,69
1/3/04,50
16/2/04,00
1/2/04,77
