Date,Date_th,num3_top,num2_top,num2
16/4/21,16/4/64,787,87,56
1/4/21,1/4/64,270,70,05
16/3/21,16/3/64,422,22,19
1/3/21,1/3/64,538,38,73
16/2/21,16/2/64,603,3,39
1/2/21,1/2/64,307,7,97
17/1/21,17/1/64,395,95,15
30/12/20,30/12/63,628,28,19
16/12/20,16/12/63,303,3,70
1/12/20,1/12/63,994,94,84
16/11/20,16/11/63,661,61,46
1/11/20,1/11/63,404,4,40
16/10/20,16/10/63,51,51,38
1/10/20,1/10/63,893,93,59
16/9/20,16/9/63,83,83,57
1/9/20,1/9/63,997,97,98
16/8/20,16/8/63,811,11,88
1/8/20,1/8/63,391,91,92
16/7/20,16/7/63,286,86,53
1/7/20,1/7/63,258,58,83
16/6/20,16/6/63,967,67,64
1/6/20,1/6/63,567,67,24
1/4/20,1/4/63,95,95,22
16/3/20,16/3/63,446,46,77
1/3/20,1/3/63,938,38,98
16/2/20,16/2/63,403,3,94
1/2/20,1/2/63,227,27,06
17/1/20,17/1/63,774,74,68
30/12/19,30/12/62,541,41,81
16/12/19,16/12/62,924,24,97
1/12/19,1/12/62,522,22,81
16/11/19,16/11/62,223,23,32
1/11/19,1/11/62,375,75,79
16/10/19,16/10/62,564,64,15
1/10/19,1/10/62,197,97,59
16/9/19,16/9/62,388,88,85
1/9/19,1/9/62,787,87,20
16/8/19,16/8/62,476,76,89
1/8/19,1/8/62,6,6,58
15/7/19,15/7/62,765,65,88
1/7/19,1/7/62,647,47,86
16/6/19,16/6/62,55,55,29
1/6/19,1/6/62,461,61,46
16/5/19,16/5/62,526,26,71
2/5/19,2/5/62,324,24,25
16/4/19,16/4/62,331,31,23
1/4/19,1/4/62,767,67,52
16/3/19,16/3/62,628,28,64
1/3/19,1/3/62,650,50,65
16/2/19,16/2/62,824,24,56
1/2/19,1/2/62,134,34,04
17/1/19,17/1/62,79,79,65
30/12/18,30/12/61,867,67,02
16/12/18,16/12/61,564,64,62
1/12/18,1/12/61,840,40,67
16/11/18,16/11/61,903,3,16
1/11/18,1/11/61,840,40,58
16/10/18,16/10/61,515,15,93
1/10/18,1/10/61,643,43,99
16/9/18,16/9/61,760,60,79
1/9/18,1/9/61,510,10,26
16/8/18,16/8/61,117,17,10
1/8/18,1/8/61,602,2,78
16/7/18,16/7/61,324,24,27
1/7/18,1/7/61,623,23,83
16/6/18,16/6/61,131,31,46
1/6/18,1/6/61,117,17,95
16/5/18,16/5/61,629,29,20
2/5/18,2/5/61,38,38,85
16/4/18,16/4/61,229,29,60
1/4/18,1/4/61,73,73,85
16/3/18,16/3/61,559,59,82
2/3/18,2/3/61,415,15,29
16/2/18,16/2/61,915,15,39
1/2/18,1/2/61,853,53,31
17/1/18,17/1/61,823,23,50
30/12/17,30/12/60,234,34,98
16/12/17,16/12/60,596,96,89
1/12/17,1/12/60,5,5,33
16/11/17,16/11/60,391,91,98
1/11/17,1/11/60,726,26,85
16/10/17,16/10/60,494,94,86
1/10/17,1/10/60,714,14,52
16/9/17,16/9/60,143,43,71
1/9/17,1/9/60,224,24,65
16/8/17,16/8/60,431,31,37
1/8/17,1/8/60,519,19,36
16/7/17,16/7/60,327,27,87
1/7/17,1/7/60,360,60,26
16/6/17,16/6/60,142,42,47
1/6/17,1/6/60,630,30,61
16/5/17,16/5/60,891,91,53
2/5/17,2/5/60,656,56,35
16/4/17,16/4/60,729,29,40
1/4/17,1/4/60,785,85,80
16/3/17,16/3/60,863,63,92
1/3/17,1/3/60,453,53,78
16/2/17,16/2/60,116,16,14
